id,scenario,scenario_name,model,threshold,balance_train,train_f1,train_auprc,train_roc_auc,train_prec,train_rec,val_f1,val_auprc,val_roc_auc,val_prec,val_rec,test_f1,test_auprc,test_roc_auc,test_prec,test_rec
S1a,baseline,Baseline (Imbalanced),LogReg,0.6755001681644799,False,0.9336870026525199,0.9626043766990426,0.9981485150383033,0.8756218905472637,1.0,0.6976744186046512,0.6054239535048244,0.9309999999999999,0.6521739130434783,0.75,0.6222222222222222,0.712625715847838,0.9398185799186738,0.6363636363636364,0.6086956521739131
S1a,baseline,Baseline (Imbalanced),SVM (Lin),0.28201317675919146,False,0.9750692520775623,0.9858671063564135,0.9994032793690328,0.9513513513513514,1.0,0.6046511627906976,0.5302343068548114,0.9076000000000001,0.5652173913043478,0.65,0.5287356321839081,0.6080494635038682,0.9149515170472318,0.5609756097560976,0.5
S1a,baseline,Baseline (Imbalanced),SVM (RBF),0.4221672463662929,False,0.8866498740554156,0.936512376671866,0.9973866938375032,0.7963800904977375,1.0,0.6111111111111112,0.6907317187201583,0.9384,0.6875,0.55,0.5647058823529412,0.7073643905582985,0.9441664060056303,0.6153846153846154,0.5217391304347826
S1a,baseline,Baseline (Imbalanced),XGBoost,0.12386192381381989,False,1.0,1.0,1.0,1.0,1.0,0.5945945945945946,0.5736118552142008,0.9086000000000001,0.6470588235294118,0.55,0.5789473684210527,0.611569499439437,0.9285893024710666,0.7333333333333333,0.4782608695652174
S1b,baseline,Baseline (Balanced),LogReg,0.9109768473127845,True,0.8305647840531561,1.0,1.0,1.0,0.7102272727272727,0.5853658536585366,0.5247256256743104,0.9086000000000001,0.5714285714285714,0.6,0.5652173913043478,0.6252387395475185,0.9132311542070691,0.5652173913043478,0.5652173913043478
S1b,baseline,Baseline (Balanced),SVM (Lin),0.9053856441506706,True,0.6962962962962963,1.0,1.0,1.0,0.5340909090909091,0.5454545454545454,0.4688665704930462,0.8806,0.5,0.6,0.5274725274725275,0.5617882472183932,0.903159211761026,0.5333333333333333,0.5217391304347826
S1b,baseline,Baseline (Balanced),SVM (RBF),0.8950557949732598,True,0.9207317073170732,0.996068702952505,0.9960614669421487,0.993421052631579,0.8579545454545454,0.5263157894736842,0.5543230151591603,0.9124,0.5555555555555556,0.5,0.6086956521739131,0.5914641481317271,0.9122927744760713,0.6086956521739131,0.6086956521739131
S1b,baseline,Baseline (Balanced),XGBoost,0.8734723925590515,True,1.0,1.0,1.0,1.0,1.0,0.46153846153846156,0.37935058280605405,0.8862,0.375,0.6,0.4380952380952381,0.471465164142295,0.8895214263371911,0.3898305084745763,0.5
S1d,noisy_train,Noisy Train (Silver),LogReg,0.8644448369960771,False,0.7859237536656891,0.8339332462309363,0.9929340067600051,0.7423822714681441,0.8348909657320872,0.6903914590747331,0.717095905350364,0.9784064007671331,0.6423841059602649,0.7461538461538462,0.5496535796766744,0.5856037669884088,0.9198366819931303,0.6230366492146597,0.49173553719008267
S1d,noisy_train,Noisy Train (Silver),SVM (Lin),0.20930784126335125,False,0.7858017135862914,0.7830972723372286,0.9916384693377603,0.6471774193548387,1.0,0.6242424242424243,0.6400473203386475,0.9679527134338198,0.515,0.7923076923076923,0.5088757396449705,0.5043188982080307,0.8972781974896141,0.4867924528301887,0.5330578512396694
S1d,noisy_train,Noisy Train (Silver),SVM (RBF),0.3897039736807239,False,0.8822299651567944,0.8735826392579142,0.9963164222898162,0.798234552332913,0.985981308411215,0.7169811320754716,0.7308482124606412,0.9830721284948009,0.7037037037037037,0.7307692307692307,0.5707196029776674,0.6366782519863246,0.9319610973945013,0.7142857142857143,0.47520661157024796
S1d,noisy_train,Noisy Train (Silver),XGBoost,0.051066573709249496,False,1.0,1.0,1.0,1.0,1.0,0.6477732793522267,0.6821229793357466,0.9670342512960355,0.6837606837606838,0.6153846153846154,0.5695364238410596,0.5619507402526621,0.9024983121177623,0.6113744075829384,0.5330578512396694
S1e,hybrid,Hybrid (Gold+Silver),LogReg,0.6739072727526062,False,0.9641025641025641,0.9963085736860366,0.9998253972213215,0.9306930693069307,1.0,0.5906735751295337,0.5556371422655034,0.9168315705674968,0.5533980582524272,0.6333333333333333,0.5373737373737374,0.5322857467576098,0.907038455159683,0.49812734082397003,0.5833333333333334
S1e,hybrid,Hybrid (Gold+Silver),SVM (Lin),0.22569761882983255,False,1.0,0.9999999999999999,1.0,1.0,1.0,0.5370370370370371,0.4727437339158997,0.8890026157170476,0.4603174603174603,0.6444444444444445,0.5161290322580645,0.5022893040085938,0.8962222654869809,0.45484949832775917,0.5964912280701754
S1e,hybrid,Hybrid (Gold+Silver),SVM (RBF),0.24447986243151573,False,0.8138528138528138,0.9329026831623515,0.9984223391783693,0.6861313868613139,1.0,0.5963302752293578,0.5802049173967859,0.9319572387126123,0.5078125,0.7222222222222222,0.5460992907801419,0.5480209957820984,0.9139824489295578,0.4583333333333333,0.6754385964912281
S1e,hybrid,Hybrid (Gold+Silver),XGBoost,0.02248801663517952,False,1.0,0.9999999999999999,1.0,1.0,1.0,0.46956521739130436,0.42198994098878184,0.8838394177186399,0.38571428571428573,0.6,0.47183098591549294,0.46899202397646544,0.8650464014536959,0.3941176470588235,0.5877192982456141
