model,scenario,pooling,n_train,n_test,train_auprc,train_roc_auc,train_max_f1,train_precision_at_max_f1,train_recall_at_max_f1,test_auprc,test_roc_auc,test_max_f1,test_precision_at_max_f1,test_recall_at_max_f1
LogReg,baseline,mean,416,104,0.9972786608352191,0.9948120300751879,0.9791271347248577,0.9885057471264368,0.9699248120300752,0.9718352427392067,0.9473684210526317,0.9264705882352942,0.9,0.9545454545454546
SVM (RBF),baseline,mean,416,104,0.979567326238984,0.9595989974937343,0.9197651663405089,0.9591836734693877,0.8834586466165414,0.9738942278539034,0.9493620414673045,0.9185185185185185,0.8985507246376812,0.9393939393939394
XGBoost,baseline,mean,416,104,1.0000000000000002,1.0,1.0,1.0,1.0,0.9664066333126148,0.9282296650717703,0.9022556390977443,0.8955223880597015,0.9090909090909091
Dummy,baseline,mean,416,104,0.7289076055523424,0.44741854636591477,0.7800586510263929,0.6394230769230769,1.0,0.7835081585081585,0.5478468899521531,0.7764705882352941,0.6346153846153846,1.0
SVM (Lin),baseline,mean,416,104,0.9999858933893829,0.9999749373433584,0.99812382739212,0.9962546816479401,1.0,0.9614612726987334,0.9286283891547049,0.9022556390977443,0.8955223880597015,0.9090909090909091
NaiveBayes,baseline,mean,416,104,0.9752176074882984,0.9517042606516289,0.9131238447319779,0.8981818181818182,0.9285714285714286,0.9653824094921455,0.933811802232855,0.8840579710144927,0.8472222222222222,0.9242424242424242
RandForest,baseline,mean,416,104,1.0,1.0,1.0,1.0,1.0,0.9434744820379636,0.8871610845295056,0.8484848484848486,0.8484848484848485,0.8484848484848485
LogReg,robustness,mean,2009,503,0.9887955732743129,0.9881132041796148,0.9517778860204578,0.9522417153996101,0.9513145082765336,0.9744181813998825,0.9738224035936858,0.9288389513108615,0.8953068592057761,0.9649805447470817
SVM (RBF),robustness,mean,2009,503,0.9701619367941684,0.9689810949575315,0.9126788357178096,0.925,0.9006815968841285,0.9630169417312473,0.964727468286356,0.923076923076923,0.8913043478260869,0.9571984435797666
XGBoost,robustness,mean,2009,503,1.0,1.0,1.0,1.0,1.0,0.9700231330780065,0.9701053430767771,0.9108910891089109,0.9274193548387096,0.8949416342412452
Dummy,robustness,mean,2009,503,0.6267471348910392,0.4897071334656733,0.6765480895915678,0.5111996017919362,1.0,0.6372454877411262,0.5070703236215242,0.6763157894736842,0.510934393638171,1.0
SVM (Lin),robustness,mean,2009,503,0.9925884748452111,0.9917155339440007,0.9701419481155164,0.9753937007874016,0.9649464459591042,0.9688770606718912,0.9701686121919585,0.9323308270676692,0.9018181818181819,0.9649805447470817
NaiveBayes,robustness,mean,2009,503,0.931141202718159,0.9244194924413544,0.8548305513404147,0.8894736842105263,0.8227848101265823,0.938422976448118,0.9381465312707602,0.8876811594202898,0.8305084745762712,0.953307392996109
RandForest,robustness,mean,2009,503,1.0,1.0,1.0,1.0,1.0,0.9586174082867016,0.9591360602321977,0.8952380952380954,0.8768656716417911,0.914396887159533
LogReg,baseline,cls,416,104,0.9948665122020794,0.9907268170426066,0.9661654135338346,0.9661654135338346,0.9661654135338346,0.9422694881201907,0.90311004784689,0.8905109489051095,0.8591549295774648,0.9242424242424242
SVM (RBF),baseline,cls,416,104,0.956743239147428,0.9245112781954888,0.89247311827957,0.8527397260273972,0.9360902255639098,0.9422160881332804,0.886762360446571,0.8571428571428571,0.8507462686567164,0.8636363636363636
XGBoost,baseline,cls,416,104,1.0,1.0,1.0,1.0,1.0,0.9235763402485924,0.8492822966507176,0.8264462809917356,0.9090909090909091,0.7575757575757576
Dummy,baseline,cls,416,104,0.7289076055523424,0.44741854636591477,0.7800586510263929,0.6394230769230769,1.0,0.7835081585081585,0.5478468899521531,0.7764705882352941,0.6346153846153846,1.0
SVM (Lin),baseline,cls,416,104,0.9990885545650281,0.998421052631579,0.9906542056074765,0.9851301115241635,0.9962406015037594,0.9242024853212394,0.8771929824561403,0.8732394366197183,0.8157894736842105,0.9393939393939394
NaiveBayes,baseline,cls,416,104,0.9544700430496716,0.9170426065162908,0.8817204301075269,0.8424657534246576,0.924812030075188,0.927062448895132,0.8640350877192984,0.8344370860927153,0.7411764705882353,0.9545454545454546
RandForest,baseline,cls,416,104,1.0,1.0,1.0,1.0,1.0,0.9165630596955822,0.8522727272727272,0.8507462686567164,0.8382352941176471,0.8636363636363636
LogReg,robustness,cls,2009,503,0.9851353271628149,0.9829124831187271,0.9430102289332685,0.9434697855750487,0.9425511197663097,0.9504571000458784,0.9493056214608839,0.8978805394990366,0.8893129770992366,0.9066147859922179
SVM (RBF),robustness,cls,2009,503,0.9526347075567962,0.9442903122812376,0.8778550148957299,0.8956433637284701,0.8607594936708861,0.9425273322936677,0.9413178956692291,0.8922495274102079,0.8676470588235294,0.9182879377431906
XGBoost,robustness,cls,2009,503,1.0,1.0,1.0,1.0,1.0,0.9576143115618228,0.9549682072696213,0.8986615678776291,0.8834586466165414,0.914396887159533
Dummy,robustness,cls,2009,503,0.6267471348910392,0.4897071334656733,0.6765480895915678,0.5111996017919362,1.0,0.6372454877411262,0.5070703236215242,0.6763157894736842,0.510934393638171,1.0
SVM (Lin),robustness,cls,2009,503,0.9894902153343421,0.9880274344233199,0.9590361445783133,0.9494274809160306,0.9688412852969815,0.9358907468931001,0.938866217455949,0.8976377952755905,0.9083665338645418,0.8871595330739299
NaiveBayes,robustness,cls,2009,503,0.8263180878026058,0.7946791021245119,0.776654411764706,0.7354221061792864,0.8227848101265823,0.8300972634230475,0.8055265572110974,0.7875457875457875,0.7439446366782007,0.8365758754863813
RandForest,robustness,cls,2009,503,1.0,1.0,1.0,1.0,1.0,0.942880504552998,0.9402185947929518,0.8790786948176583,0.8674242424242424,0.8910505836575876
